TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,DATA_TYPE_ALIAS,COMMENT
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_PREVIOUS_PAGE,37,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_APP_NAME,38,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_APP_VERSION,39,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_DEVICE,40,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,APP_IDENTIFIER,41,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_APP_IDENTIFIER,42,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,BASE_LIBRARY,43,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_BASE_LIBRARY,44,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,ACTIVITY,45,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,IOS_ADVERTISER_ID,46,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SOURCE_LIBRARY,47,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_SOURCE_LIBRARY,48,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SOURCE_VERSION,49,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_SOURCE_VERSION,50,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,ANDROID_ADVERTISER_ID,51,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,ANDROID_ID,52,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,IOS_VENDOR_ID,53,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SHORT_ACTIVITY,54,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SCREEN_NAME,55,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_SCREEN_NAME,56,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,PAGEVIEW_ID,57,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,VWO_POST_DOWNLOAD_STARTER_CONTROL_ROUND_2_B,58,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,FF_ASSISTANT_JUPITER_EXTENSION_TEST,59,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,FF_PANEL_DEPLOYMENT_MICROSERVICE_ROLLOUT,60,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,VWO_START_CODING_IMMEDIATELY_BUTTON_CHANGES,61,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
